x,z,T
0.0663317,0.000408163,295.937
0.0668342,0.000408163,295.837
0.0673367,0.000408163,295.736
0.0678392,0.000408163,295.637
0.0683417,0.000408163,295.539
0.0688442,0.000408163,295.443
0.0693467,0.000408163,295.35
0.0698492,0.000408163,295.26
0.0703518,0.000408163,295.173
0.0708543,0.000408163,295.09
0.0713568,0.000408163,295.009
0.0718593,0.000408163,294.931
0.0723618,0.000408163,294.857
0.0728643,0.000408163,294.786
0.0733668,0.000408163,294.717
0.0738693,0.000408163,294.652
0.0743719,0.000408163,294.589
0.0748744,0.000408163,294.529
0.0753769,0.000408163,294.471
0.0758794,0.000408163,294.416
0.0763819,0.000408163,294.363
0.0768844,0.000408163,294.313
0.0773869,0.000408163,294.264
0.0778894,0.000408163,294.218
0.078392,0.000408163,294.173
0.0788945,0.000408163,294.131
0.079397,0.000408163,294.09
0.0798995,0.000408163,294.051
0.080402,0.000408163,294.014
0.0809045,0.000408163,293.978
0.081407,0.000408163,293.944
0.0819095,0.000408163,293.912
0.0824121,0.000408163,293.88
0.0829146,0.000408163,293.851
0.0834171,0.000408163,293.822
0.0839196,0.000408163,293.795
0.0844221,0.000408163,293.769
0.0849246,0.000408163,293.744
0.0854271,0.000408163,293.721
0.0859296,0.000408163,293.698
0.0864322,0.000408163,293.677
0.0869347,0.000408163,293.657
0.0874372,0.000408163,293.637
0.0879397,0.000408163,293.619
0.0884422,0.000408163,293.602
0.0889447,0.000408163,293.585
0.0894472,0.000408163,293.569
0.0899497,0.000408163,293.555
0.0904523,0.000408163,293.541
0.0909548,0.000408163,293.528
0.0914573,0.000408163,293.516
0.0919598,0.000408163,293.504
0.0924623,0.000408163,293.493
0.0929648,0.000408163,293.484
0.0934673,0.000408163,293.474
0.0939698,0.000408163,293.466
0.0944724,0.000408163,293.458
0.0949749,0.000408163,293.451
0.0954774,0.000408163,293.444
0.0959799,0.000408163,293.439
0.0964824,0.000408163,293.434
0.0969849,0.000408163,293.429
0.0974874,0.000408163,293.425
0.0979899,0.000408163,293.422
0.0984925,0.000408163,293.42
0.098995,0.000408163,293.418
0.0994975,0.000408163,293.416
0.1,0.000408163,293.416
0,0.000612245,293.425
0.000502513,0.000612245,293.426
0.00100503,0.000612245,293.427
0.00150754,0.000612245,293.429
0.00201005,0.000612245,293.432
0.00251256,0.000612245,293.436
0.00301508,0.000612245,293.44
0.00351759,0.000612245,293.444
0.0040201,0.000612245,293.45
0.00452261,0.000612245,293.456
0.00502513,0.000612245,293.462
0.00552764,0.000612245,293.47
0.00603015,0.000612245,293.478
0.00653266,0.000612245,293.487
0.00703518,0.000612245,293.496
0.00753769,0.000612245,293.507
0.0080402,0.000612245,293.518
0.00854271,0.000612245,293.53
0.00904523,0.000612245,293.543
0.00954774,0.000612245,293.556
0.0100503,0.000612245,293.571
0.0105528,0.000612245,293.586
0.0110553,0.000612245,293.602
0.0115578,0.000612245,293.62
0.0120603,0.000612245,293.638
0.0125628,0.000612245,293.657
0.0130653,0.000612245,293.677
0.0135678,0.000612245,293.698
0.0140704,0.000612245,293.721
0.0145729,0.000612245,293.744
0.0150754,0.000612245,293.769
0.0155779,0.000612245,293.794
0.0160804,0.000612245,293.821
0.0165829,0.000612245,293.85
0.0170854,0.000612245,293.879
0.0175879,0.000612245,293.911
0.0180905,0.000612245,293.943
0.018593,0.000612245,293.977
0.0190955,0.000612245,294.013
0.019598,0.000612245,294.05
0.0201005,0.000612245,294.089
0.020603,0.000612245,294.13
0.0211055,0.000612245,294.172
0.021608,0.000612245,294.216
0.0221106,0.000612245,294.263
0.0226131,0.000612245,294.311
0.0231156,0.000612245,294.362
0.0236181,0.000612245,294.415
0.0241206,0.000612245,294.47
0.0246231,0.000612245,294.528
0.0251256,0.000612245,294.588
0.0256281,0.000612245,294.651
0.0261307,0.000612245,294.716
0.0266332,0.000612245,294.785
0.0271357,0.000612245,294.856
0.0276382,0.000612245,294.931
0.0281407,0.000612245,295.008
0.0286432,0.000612245,295.089
0.0291457,0.000612245,295.173
0.0296482,0.000612245,295.26
0.0301508,0.000612245,295.351
0.0306533,0.000612245,295.444
0.0311558,0.000612245,295.54
0.0316583,0.000612245,295.638
0.0321608,0.000612245,295.738
0.0326633,0.000612245,295.839
0.0331658,0.000612245,295.94
0.0336683,0.000612245,296.04
0.0341709,0.000612245,296.139
0.0346734,0.000612245,296.235
0.0351759,0.000612245,296.329
0.0356784,0.000612245,296.419
0.0361809,0.000612245,296.506
0.0366834,0.000612245,296.588
0.0371859,0.000612245,296.667
0.0376884,0.000612245,296.742
0.038191,0.000612245,296.814
0.0386935,0.000612245,296.881
0.039196,0.000612245,296.945
0.0396985,0.000612245,297.005
0.040201,0.000612245,297.061
0.0407035,0.000612245,297.114
0.041206,0.000612245,297.164
0.0417085,0.000612245,297.21
0.0422111,0.000612245,297.253
0.0427136,0.000612245,297.293
0.0432161,0.000612245,297.33
0.0437186,0.000612245,297.364
0.0442211,0.000612245,297.395
0.0447236,0.000612245,297.423
0.0452261,0.000612245,297.448
0.0457286,0.000612245,297.47
0.0462312,0.000612245,297.49
0.0467337,0.000612245,297.507
0.0472362,0.000612245,297.522
0.0477387,0.000612245,297.533
0.0482412,0.000612245,297.542
